Date,Accts Payable,Rate of Change (%)
2020-08-12,12746.670329670329,0.1160881821367532
2020-08-13,12761.45054945055,0.115953573740879
2020-08-14,12776.23076923077,0.11581927714992002
2020-08-15,12791.010989010989,0.11568529128180849
2020-08-16,12805.791208791208,0.11555161505933942
2020-08-17,12820.57142857143,0.11541824741039264
2020-08-18,12835.351648351649,0.11528518726771075
2020-08-19,12850.131868131868,0.11515243356903238
2020-08-20,12864.912087912087,0.11501998525691448
2020-08-21,12879.692307692309,0.11488784127882123
2020-08-22,12894.472527472528,0.11475600058699076
2020-08-23,12909.252747252747,0.11462446213854616
2020-08-24,12924.032967032967,0.11449322489534008
2020-08-25,12938.813186813186,0.11436228782393254
2020-08-26,12953.593406593407,0.1142316498957241
2020-08-27,12968.373626373626,0.11410131008664504
2020-08-28,12983.153846153846,0.11397126737744401
2020-08-29,12997.934065934067,0.11384152075344378
2020-08-30,13012.714285714286,0.11371206920456345
2020-08-31,13027.494505494506,0.11358291172538504
2020-09-01,13042.274725274725,0.11345404731497588
2020-09-02,13057.054945054944,0.11332547497697743
2020-09-03,13071.835164835165,0.11319719371953862
2020-09-04,13086.615384615385,0.11306920255527153
2020-09-05,13101.395604395604,0.1129415005012957
2020-09-06,13116.175824175825,0.11281408657914938
2020-09-07,13130.956043956045,0.11268695981474508
2020-09-08,13145.736263736264,0.11256011923841402
2020-09-09,13160.516483516483,0.1124335638848395
2020-09-10,13175.296703296703,0.11230729279303464
2020-09-11,13190.076923076924,0.1121813050063869
2020-09-12,13204.857142857143,0.11205559957243594
2020-09-13,13219.637362637362,0.1119301755431179
2020-09-14,13234.417582417582,0.1118050319745656
2020-09-15,13249.197802197803,0.11168016792713065
2020-09-16,13263.978021978022,0.11155558246529473
2020-09-17,13278.758241758242,0.11143127465778058
2020-09-18,13293.538461538461,0.11130724357748534
2020-09-19,13308.318681318682,0.11118348830134739
2020-09-20,13323.098901098901,0.11106000791043513
2020-09-21,13337.87912087912,0.1109368014899248
2020-09-22,13352.65934065934,0.11081386812901162
2020-09-23,13367.439560439561,0.11069120692097645
2020-09-24,13382.21978021978,0.11056881696298593
2020-09-25,13397.0,0.11044669735633672
2020-09-26,13377.39175257732,-0.14636297247653252
2020-09-27,13357.783505154639,-0.14657750767373967
2020-09-28,13338.175257731958,-0.1467926727148572
2020-09-29,13318.567010309278,-0.14700847037764087
2020-09-30,13298.958762886597,-0.1472249034562223
2020-10-01,13279.350515463917,-0.1474419747612199
2020-10-02,13259.742268041236,-0.1476596871198388
2020-10-03,13240.134020618556,-0.14787804337600408
2020-10-04,13220.525773195875,-0.14809704639050514
2020-10-05,13200.917525773195,-0.14831669904108447
2020-10-06,13181.309278350516,-0.14853700422259308
2020-10-07,13161.701030927836,-0.14875796484713488
2020-10-08,13142.092783505155,-0.14897958384409993
2020-10-09,13122.484536082475,-0.1492018641604087
2020-10-10,13102.876288659794,-0.14942480876060094
2020-10-11,13083.268041237114,-0.1496484206269355
2020-10-12,13063.659793814433,-0.1498727027595681
2020-10-13,13044.051546391753,-0.1500976581766511
2020-10-14,13024.443298969072,-0.15032328991451127
2020-10-15,13004.835051546392,-0.1505496010277274
2020-10-16,12985.226804123711,-0.15077659458933024
2020-10-17,12965.61855670103,-0.1510042736908801
2020-10-18,12946.01030927835,-0.1512326414426779
2020-10-19,12926.40206185567,-0.15146170097383171
2020-10-20,12906.79381443299,-0.15169145543245666
2020-10-21,12887.185567010309,-0.15192190798580807
2020-10-22,12867.577319587628,-0.15215306182038146
2020-10-23,12847.969072164948,-0.15238492014213456
2020-10-24,12828.360824742267,-0.152617486176565
2020-10-25,12808.752577319588,-0.15285076316889912
2020-10-26,12789.144329896908,-0.1530847543842806
2020-10-27,12769.536082474227,-0.15331946310780387
2020-10-28,12749.927835051547,-0.1535548926447805
2020-10-29,12730.319587628866,-0.15379104632086138
2020-10-30,12710.711340206186,-0.15402792748215877
2020-10-31,12691.103092783505,-0.1542655394954684
2020-11-01,12671.494845360825,-0.15450388574835827
2020-11-02,12651.886597938144,-0.15474296964939072
2020-11-03,12632.278350515464,-0.1549827946282445
2020-11-04,12612.670103092783,-0.15522336413589244
2020-11-05,12593.061855670103,-0.15546468164479021
2020-11-06,12573.453608247422,-0.1557067506489873
2020-11-07,12553.845360824742,-0.1559495746643491
2020-11-08,12534.237113402061,-0.1561931572287012
2020-11-09,12514.62886597938,-0.156437501902007
2020-11-10,12495.0206185567,-0.15668261226655655
2020-11-11,12475.41237113402,-0.15692849192709968
2020-11-12,12455.80412371134,-0.15717514451105696
2020-11-13,12436.19587628866,-0.15742257366869739
2020-11-14,12416.58762886598,-0.15767078307334925
2020-11-15,12396.9793814433,-0.15791977642146682
2020-11-16,12377.37113402062,-0.15816955743293004
2020-11-17,12357.762886597939,-0.15842012985120002
2020-11-18,12338.154639175258,-0.15867149744348552
2020-11-19,12318.546391752578,-0.15892366400095392
2020-11-20,12298.938144329897,-0.15917663333888665
2020-11-21,12279.329896907217,-0.15943040929692343
2020-11-22,12259.721649484536,-0.15968499573921768
2020-11-23,12240.113402061856,-0.15994039655463643
2020-11-24,12220.505154639175,-0.1601966156569934
2020-11-25,12200.896907216495,-0.1604536569851711
2020-11-26,12181.288659793814,-0.16071152450344295
2020-11-27,12161.680412371134,-0.16097022220153967
2020-11-28,12142.072164948453,-0.16122975409496032
2020-11-29,12122.463917525773,-0.16149012422512765
2020-11-30,12102.855670103092,-0.16175133665964347
2020-12-01,12083.247422680412,-0.16201339549242189
2020-12-02,12063.639175257733,-0.16227630484395572
2020-12-03,12044.03092783505,-0.16254006886162742
2020-12-04,12024.422680412372,-0.1628046917196313
2020-12-05,12004.814432989691,-0.1630701776196064
2020-12-06,11985.20618556701,-0.16333653079048105
2020-12-07,11965.59793814433,-0.16360375548893913
2020-12-08,11945.98969072165,-0.16387185599954224
2020-12-09,11926.38144329897,-0.16414083663499612
2020-12-10,11906.773195876289,-0.16441070173633943
2020-12-11,11887.164948453608,-0.16468145567324344
2020-12-12,11867.556701030928,-0.16495310284418974
2020-12-13,11847.948453608247,-0.16522564767672554
2020-12-14,11828.340206185567,-0.16549909462771906
2020-12-15,11808.731958762886,-0.16577344818359263
2020-12-16,11789.123711340206,-0.166048712860567
2020-12-17,11769.515463917525,-0.1663248932049055
2020-12-18,11749.907216494845,-0.16660199379315843
2020-12-19,11730.298969072164,-0.16688001923244045
2020-12-20,11710.690721649484,-0.16715897416066383
2020-12-21,11691.082474226803,-0.167438863246816
2020-12-22,11671.474226804123,-0.16771969119119268
2020-12-23,11651.865979381444,-0.1680014627256532
2020-12-24,11632.257731958764,-0.16828418261399802
2020-12-25,11612.649484536083,-0.16856785565203536
2020-12-26,11593.041237113403,-0.16885248666802521
2020-12-27,11573.432989690722,-0.16913808052289037
2020-12-28,11553.824742268042,-0.1694246421104828
2020-12-29,11534.216494845361,-0.1697121763578946
2020-12-30,11514.60824742268,-0.17000068822571324
2020-12-31,11495.0,-0.1702901827082992
2021-01-01,11496.097826086956,0.009550466176211359
2021-01-02,11497.195652173914,0.009549554149290707
2021-01-03,11498.29347826087,0.009548642296519638
2021-01-04,11499.391304347826,0.009547730617875949
2021-01-05,11500.489130434782,0.009546819113293026
2021-01-06,11501.58695652174,0.009545907782770868
2021-01-07,11502.684782608696,0.00954499662617625
2021-01-08,11503.782608695652,0.00954408564350917
2021-01-09,11504.880434782608,0.009543174834747425
2021-01-10,11505.978260869566,0.009542264199802197
2021-01-11,11507.076086956522,0.009541353738606873
2021-01-12,11508.173913043478,0.009540443451139247
2021-01-13,11509.271739130434,0.00953953333735491
2021-01-14,11510.369565217392,0.009538623397209456
2021-01-15,11511.467391304348,0.009537713630614064
2021-01-16,11512.565217391304,0.009536804037568736
