Date,Shares Outstanding,Rate of Change (%)
2020-08-28,4296.384615384615,0.0005115495090413091
2020-08-29,4296.406593406594,0.0005115468922456401
2020-08-30,4296.428571428572,0.0005115442754277666
2020-08-31,4296.450549450549,0.0005115416586765065
2020-09-01,4296.472527472528,0.0005115390419474508
2020-09-02,4296.494505494506,0.0005115364252183952
2020-09-03,4296.516483516483,0.0005115338085337484
2020-09-04,4296.538461538462,0.0005115311919157151
2020-09-05,4296.56043956044,0.0005115285752532728
2020-09-06,4296.582417582417,0.0005115259586574439
2020-09-07,4296.604395604396,0.0005115233421060239
2020-09-08,4296.626373626374,0.0005115207255323995
2020-09-09,4296.648351648351,0.000511518109003184
2020-09-10,4296.67032967033,0.0005115154925405818
2020-09-11,4296.692307692308,0.0005115128760557752
2020-09-12,4296.714285714285,0.0005115102596153775
2020-09-13,4296.736263736264,0.0005115076432193888
2020-09-14,4296.758241758242,0.0005115050268011956
2020-09-15,4296.780219780219,0.0005115024104496158
2020-09-16,4296.802197802198,0.0005114997941424448
2020-09-17,4296.824175824176,0.0005114971778130695
2020-09-18,4296.846153846154,0.0005114945615503075
2020-09-19,4296.868131868132,0.000511491945265341
2020-09-20,4296.89010989011,0.000511489329046988
2020-09-21,4296.912087912088,0.0005114867128730438
2020-09-22,4296.934065934066,0.0005114840966768952
2020-09-23,4296.956043956044,0.0005114814805251555
2020-09-24,4296.978021978022,0.0005114788644178248
2020-09-25,4297.0,0.000511476248310494
2020-09-26,4297.051546391753,0.0011995902199801733
2020-09-27,4297.103092783505,0.0011995758299798709
2020-09-28,4297.154639175258,0.0011995614403348398
2020-09-29,4297.20618556701,0.0011995470510228756
2020-09-30,4297.257731958763,0.0011995326620883873
2020-10-01,4297.309278350515,0.0011995182734647614
2020-10-02,4297.360824742268,0.0011995038851964068
2020-10-03,4297.412371134021,0.0011994894972833237
2020-10-04,4297.4639175257735,0.0011994751097033074
2020-10-05,4297.515463917526,0.001199460722456358
2020-10-06,4297.567010309278,0.0011994463355424756
2020-10-07,4297.618556701031,0.0011994319490282734
2020-10-08,4297.670103092783,0.0011994175628249337
2020-10-09,4297.721649484536,0.0011994031769768654
2020-10-10,4297.773195876289,0.0011993887914840684
2020-10-11,4297.8247422680415,0.0011993744063021339
2020-10-12,4297.876288659794,0.0011993600214976752
2020-10-13,4297.927835051546,0.001199345637004079
2020-10-14,4297.979381443299,0.0011993312528879585
2020-10-15,4298.030927835051,0.001199316869104905
2020-10-16,4298.082474226804,0.0011993024856771228
2020-10-17,4298.134020618557,0.0011992881025824076
2020-10-18,4298.18556701031,0.0011992737198429637
2020-10-19,4298.237113402062,0.0011992593374365867
2020-10-20,4298.288659793814,0.0011992449553632767
2020-10-21,4298.340206185567,0.0011992305736674425
2020-10-22,4298.3917525773195,0.0011992161923046751
2020-10-23,4298.443298969072,0.0011992018112749747
2020-10-24,4298.494845360825,0.0011991874306005457
2020-10-25,4298.546391752578,0.0011991730502591835
2020-10-26,4298.59793814433,0.0011991586702730928
2020-10-27,4298.649484536082,0.0011991442906200689
2020-10-28,4298.701030927835,0.0011991299113445208
2020-10-29,4298.7525773195875,0.0011991155323798353
2020-10-30,4298.80412371134,0.001199101153770421
2020-10-31,4298.855670103093,0.0011990867755162782
