Date,Return on Common Equity,Return on Assets,Return on Invested Capital,EBITDA Margin,Operating Margin,Net Income Margin,EPS Diluted,Dividend per Share,Current Ratio,Quick Ratio,Return on Common Equity_roc,Return on Assets_roc,Return on Invested Capital_roc,EBITDA Margin_roc,Operating Margin_roc,Net Income Margin_roc,EPS Diluted_roc,Dividend per Share_roc,Current Ratio_roc,Quick Ratio_roc
2024-04-13 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-04-14 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-04-15 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-04-16 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-04-17 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-04-18 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-04-19 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-04-20 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-04-21 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-04-22 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-04-23 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-04-24 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-04-25 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-04-26 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-04-27 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-04-28 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-04-29 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-04-30 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-01 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-02 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-03 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-04 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-05 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-06 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-07 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-08 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-09 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-10 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-11 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-12 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
2024-05-13 00:00:00,41.7612,10.9596,11.5855,21.2655,18.9469,28.115,2.7778,5.4348,1.039,0.7463,0,0,0,0,0,0,0,0,0,0
